alpha, beta, gamma

0.00, 360.00, 0.00
323.55, 0.00, 36.22
24.07, 299.48, 36.22
24.07, 320.85, 14.85
348.97, -38.93, 10.80
55.35, 254.47, 49.95
55.35, 192.60, 111.82
53.10, 192.60, 114.30
51.52, 193.95, 114.30
51.52, 196.20, 112.05
49.27, 196.20, 114.30
42.30, 203.17, 114.30
42.30, 199.35, 118.35
51.52, 199.35, 109.12
61.43, 189.45, 109.12
61.43, 187.88, 110.47
61.20, 187.88, 110.70
63.45, 185.63, 110.70
63.45, 191.25, 105.07
55.57, 191.25, 112.95
56.25, 190.58, 112.95
56.25, 190.13, 113.40
54.90, 190.13, 114.75
62.32, 182.70, 114.75
62.32, 180.90, 116.55
61.20, 180.90, 117.67
53.32, 188.77, 117.67
53.32, 191.92, 114.52
53.32, 191.92, 114.52
53.32, 296.32, 10.13
53.77, 296.10, 10.13
53.77, 77.62, 228.38
54.22, 77.62, 227.92
60.07, 71.77, 227.92
60.07, 182.47, 117.22
60.97, 182.47, 116.32
54.68, 188.77, 116.32
54.68, 189.00, 116.10
54.68, 189.00, 116.32
49.95, 193.50, 116.32
49.95, 194.17, 115.65
32.63, 194.17, 132.97
32.85, 193.95, 132.97
32.85, 193.27, 133.88
20.25, 193.27, 146.25
25.87, 187.65, 146.25
9.68, 187.65, 162.45
9.68, 188.55, 161.55
20.70, 188.55, 150.75
20.70, 188.55, 150.75
20.70, 96.75, 242.33
24.07, 93.37, 242.33
24.07, 92.02, 243.67
55.57, 92.02, 212.17
54.22, 93.60, 212.17
54.22, 94.95, 210.83
53.32, 95.62, 210.83
53.32, 100.57, 205.88
52.88, 100.57, 206.33
52.88, 291.60, 15.30
63.22, 281.25, 15.30
63.22, 280.57, 15.97
65.47, 280.57, 13.72
65.47, 282.38, 11.92
65.47, 282.38, 11.92
65.47, 70.65, 223.88
62.10, 70.65, 227.02
55.35, 77.40, 227.02
55.35, 188.10, 116.32
49.27, 188.10, 122.40
44.55, 192.83, 122.40
44.55, 191.70, 123.75
47.47, 191.70, 120.60
47.47, 290.25, 22.05
56.25, 281.48, 22.05
56.25, 277.88, 25.65
57.38, 277.88, 24.75
64.12, 270.90, 24.75
64.12, 181.35, 114.30
323.55, 0.00, 36.22
24.07, 299.48, 36.22
24.07, 320.85, 14.85
348.97, -38.93, 10.80
55.35, 254.47, 49.95
55.35, 192.60, 111.82
53.10, 192.60, 114.30
51.52, 193.95, 114.30
51.52, 196.20, 112.05
49.27, 196.20, 114.30
42.30, 203.17, 114.30
42.30, 199.35, 118.35
51.52, 199.35, 109.12
61.43, 189.45, 109.12
61.43, 187.88, 110.47
61.20, 187.88, 110.70
63.45, 185.63, 110.70
63.45, 191.25, 105.07
55.57, 191.25, 112.95
56.25, 190.58, 112.95
56.25, 190.13, 113.40
54.90, 190.13, 114.75
62.32, 182.70, 114.75
62.32, 180.90, 116.55
61.20, 180.90, 117.67
53.32, 188.77, 117.67
53.32, 191.92, 114.52
53.32, 191.92, 114.52
53.32, 296.32, 10.13
53.77, 296.10, 10.13
53.77, 77.62, 228.38
54.22, 77.62, 227.92
60.07, 71.77, 227.92
60.07, 182.47, 117.22
60.97, 182.47, 116.32
54.68, 188.77, 116.32
54.68, 189.00, 116.10
54.68, 189.00, 116.32
49.95, 193.50, 116.32
49.95, 194.17, 115.65
32.63, 194.17, 132.97
32.85, 193.95, 132.97
32.85, 193.27, 133.88
20.25, 193.27, 146.25
25.87, 187.65, 146.25
9.68, 187.65, 162.45
9.68, 188.55, 161.55
20.70, 188.55, 150.75
20.70, 188.55, 150.75
20.70, 96.75, 242.33
24.07, 93.37, 242.33
24.07, 92.02, 243.67
55.57, 92.02, 212.17
54.22, 93.60, 212.17
54.22, 94.95, 210.83
53.32, 95.62, 210.83
53.32, 100.57, 205.88
52.88, 100.57, 206.33
52.88, 291.60, 15.30
63.22, 281.25, 15.30
63.22, 280.57, 15.97
65.47, 280.57, 13.72
65.47, 282.38, 11.92
65.47, 282.38, 11.92
65.47, 70.65, 223.88
62.10, 70.65, 227.02
55.35, 77.40, 227.02
55.35, 188.10, 116.32
49.27, 188.10, 122.40
44.55, 192.83, 122.40
44.55, 191.70, 123.75
47.47, 191.70, 120.60
47.47, 290.25, 22.05
56.25, 281.48, 22.05
56.25, 277.88, 25.65
57.38, 277.88, 24.75
64.12, 270.90, 24.75
64.12, 181.35, 114.30
63.90, 181.35, 114.52
63.90, 70.87, 225.00
62.10, 72.67, 225.00
62.10, 71.77, 226.13
60.30, 71.77, 227.92
51.30, 80.77, 227.92
51.30, 95.85, 212.85
53.55, 93.37, 212.85
53.55, 94.95, 211.27
51.07, 94.95, 213.75
51.07, 79.87, 228.83
60.52, 70.42, 228.83
60.52, 71.32, 227.92
